Filename,NumOfPolygons,NumOfEllipses
test0000.png,0,3
test0001.png,0,2
test0002.png,0,4
test0003.png,5,2
test0004.png,0,5
test0005.png,4,4
test0006.png,2,2
test0007.png,4,4
test0008.png,2,3
test0009.png,1,5
test0010.png,3,5
test0011.png,2,0
test0012.png,0,3
test0013.png,3,2
test0014.png,0,2
test0015.png,0,2
test0016.png,1,0
test0017.png,4,0
test0018.png,1,5
test0019.png,4,1
test0020.png,0,4
test0021.png,2,5
test0022.png,3,4
test0023.png,5,4
test0024.png,4,0
test0025.png,4,2
test0026.png,3,3
test0027.png,4,4
test0028.png,3,0
test0029.png,2,2
test0030.png,0,3
test0031.png,5,2
test0032.png,4,0
test0033.png,0,5
test0034.png,3,2
test0035.png,2,4
test0036.png,1,4
test0037.png,3,1
test0038.png,0,5
test0039.png,1,5
test0040.png,5,1
test0041.png,2,3
test0042.png,3,3
test0043.png,3,4
test0044.png,1,0
test0045.png,4,4
test0046.png,3,5
test0047.png,4,5
test0048.png,5,0
test0049.png,4,1
test0050.png,5,1
test0051.png,4,5
test0052.png,2,2
test0053.png,5,2
test0054.png,3,1
test0055.png,1,5
test0056.png,2,5
test0057.png,4,4
test0058.png,3,5
test0059.png,4,2
test0060.png,2,5
test0061.png,2,0
test0062.png,0,2
test0063.png,3,3
test0064.png,4,2
test0065.png,0,5
test0066.png,5,0
test0067.png,0,1
test0068.png,4,0
test0069.png,4,1
test0070.png,1,1
test0071.png,5,4
test0072.png,2,1
test0073.png,3,0
test0074.png,1,0
test0075.png,2,0
test0076.png,0,2
test0077.png,3,2
test0078.png,3,2
test0079.png,5,2
test0080.png,5,3
test0081.png,3,3
test0082.png,3,4
test0083.png,0,4
test0084.png,2,1
test0085.png,1,1
test0086.png,0,0
test0087.png,5,0
test0088.png,4,1
test0089.png,4,5
test0090.png,1,4
test0091.png,2,5
test0092.png,0,0
test0093.png,0,4
test0094.png,5,0
test0095.png,5,5
test0096.png,5,1
test0097.png,0,5
test0098.png,3,5
test0099.png,5,4
test0100.png,3,0
test0101.png,1,2
test0102.png,5,1
test0103.png,4,2
test0104.png,0,4
test0105.png,3,4
test0106.png,2,3
test0107.png,5,4
test0108.png,2,5
test0109.png,5,2
test0110.png,5,5
test0111.png,2,4
test0112.png,5,2
test0113.png,4,5
test0114.png,4,1
test0115.png,5,3
test0116.png,5,1
test0117.png,1,0
test0118.png,5,0
test0119.png,5,2
test0120.png,2,1
test0121.png,4,0
test0122.png,3,0
test0123.png,3,5
test0124.png,5,5
test0125.png,2,1
test0126.png,5,0
test0127.png,4,2
test0128.png,5,4
test0129.png,0,4
test0130.png,1,2
test0131.png,2,1
test0132.png,0,5
test0133.png,4,4
test0134.png,2,2
test0135.png,2,1
test0136.png,0,1
test0137.png,1,5
test0138.png,1,3
test0139.png,4,5
test0140.png,5,0
test0141.png,5,0
test0142.png,0,3
test0143.png,1,5
test0144.png,0,2
test0145.png,0,2
test0146.png,5,0
test0147.png,0,4
test0148.png,1,4
test0149.png,5,3
test0150.png,3,4
test0151.png,2,2
test0152.png,4,3
test0153.png,1,1
test0154.png,1,5
test0155.png,0,2
test0156.png,0,0
test0157.png,1,2
test0158.png,3,5
test0159.png,0,0
test0160.png,1,4
test0161.png,5,3
test0162.png,2,4
test0163.png,5,2
test0164.png,2,0
test0165.png,4,5
test0166.png,1,5
test0167.png,4,3
test0168.png,2,2
test0169.png,3,3
test0170.png,3,4
test0171.png,4,5
test0172.png,4,5
test0173.png,0,1
test0174.png,0,3
test0175.png,3,2
test0176.png,0,2
test0177.png,1,4
test0178.png,2,0
test0179.png,1,0
test0180.png,1,0
test0181.png,0,5
test0182.png,2,4
test0183.png,1,5
test0184.png,3,0
test0185.png,4,4
test0186.png,1,5
test0187.png,2,0
test0188.png,0,1
test0189.png,4,3
test0190.png,5,4
test0191.png,4,1
test0192.png,3,4
test0193.png,4,2
test0194.png,0,5
test0195.png,0,2
test0196.png,0,3
test0197.png,0,3
test0198.png,1,5
test0199.png,2,2
test0200.png,2,1
test0201.png,4,2
test0202.png,1,3
test0203.png,0,0
test0204.png,1,5
test0205.png,2,1
test0206.png,3,4
test0207.png,3,1
test0208.png,1,2
test0209.png,4,1
test0210.png,1,1
test0211.png,2,3
test0212.png,0,1
test0213.png,4,3
test0214.png,0,1
test0215.png,5,3
test0216.png,2,5
test0217.png,0,3
test0218.png,2,2
test0219.png,2,5
test0220.png,0,2
test0221.png,2,4
test0222.png,2,5
test0223.png,2,4
test0224.png,2,1
test0225.png,2,3
test0226.png,3,0
test0227.png,2,3
test0228.png,4,0
test0229.png,3,2
test0230.png,5,4
test0231.png,0,1
test0232.png,0,2
test0233.png,4,0
test0234.png,2,1
test0235.png,1,2
test0236.png,1,3
test0237.png,3,3
test0238.png,3,3
test0239.png,1,1
test0240.png,4,1
test0241.png,5,2
test0242.png,0,4
test0243.png,0,2
test0244.png,1,3
test0245.png,0,1
test0246.png,4,5
test0247.png,4,2
test0248.png,1,2
test0249.png,3,1
test0250.png,3,2
test0251.png,4,4
test0252.png,1,0
test0253.png,5,4
test0254.png,3,1
test0255.png,1,1
test0256.png,1,3
test0257.png,3,0
test0258.png,3,4
test0259.png,4,0
test0260.png,1,2
test0261.png,3,2
test0262.png,0,1
test0263.png,4,1
test0264.png,2,0
test0265.png,1,4
test0266.png,2,4
test0267.png,0,5
test0268.png,2,3
test0269.png,2,4
test0270.png,3,2
test0271.png,0,0
test0272.png,1,2
test0273.png,0,2
test0274.png,1,1
test0275.png,0,1
test0276.png,5,1
test0277.png,1,2
test0278.png,2,2
test0279.png,3,3
test0280.png,3,1
test0281.png,1,1
test0282.png,4,3
test0283.png,1,1
test0284.png,0,3
test0285.png,0,0
test0286.png,5,0
test0287.png,1,5
test0288.png,2,1
test0289.png,5,0
test0290.png,3,5
test0291.png,1,0
test0292.png,5,3
test0293.png,3,4
test0294.png,2,4
test0295.png,0,0
test0296.png,3,0
test0297.png,3,2
test0298.png,5,2
test0299.png,3,4
test0300.png,4,2
test0301.png,4,2
test0302.png,1,1
test0303.png,3,3
test0304.png,5,3
test0305.png,0,3
test0306.png,5,0
test0307.png,1,3
test0308.png,1,2
test0309.png,4,2
test0310.png,5,1
test0311.png,5,0
test0312.png,4,1
test0313.png,3,2
test0314.png,1,2
test0315.png,2,5
test0316.png,2,0
test0317.png,4,4
test0318.png,1,2
test0319.png,3,0
test0320.png,4,4
test0321.png,4,5
test0322.png,5,0
test0323.png,2,5
test0324.png,4,1
test0325.png,3,4
test0326.png,1,4
test0327.png,0,1
test0328.png,0,5
test0329.png,1,0
test0330.png,4,0
test0331.png,4,2
test0332.png,2,2
test0333.png,2,0
test0334.png,4,1
test0335.png,0,5
test0336.png,5,3
test0337.png,1,5
test0338.png,1,3
test0339.png,1,3
test0340.png,3,0
test0341.png,5,1
test0342.png,2,5
test0343.png,3,5
test0344.png,5,4
test0345.png,5,1
test0346.png,1,0
test0347.png,2,2
test0348.png,3,4
test0349.png,2,2
test0350.png,4,0
test0351.png,5,0
test0352.png,2,4
test0353.png,0,1
test0354.png,4,3
test0355.png,5,3
test0356.png,3,3
test0357.png,4,3
test0358.png,4,1
test0359.png,0,2
test0360.png,2,1
test0361.png,0,1
test0362.png,0,3
test0363.png,0,0
test0364.png,0,1
test0365.png,4,2
test0366.png,3,1
test0367.png,4,3
test0368.png,4,0
test0369.png,1,5
test0370.png,4,4
test0371.png,3,0
test0372.png,3,2
test0373.png,0,5
test0374.png,4,5
test0375.png,3,4
test0376.png,4,1
test0377.png,4,1
test0378.png,5,5
test0379.png,4,4
test0380.png,3,4
test0381.png,2,3
test0382.png,1,2
test0383.png,3,5
test0384.png,1,4
test0385.png,4,5
test0386.png,2,5
test0387.png,0,1
test0388.png,2,3
test0389.png,4,4
test0390.png,1,4
test0391.png,5,4
test0392.png,1,0
test0393.png,4,5
test0394.png,0,2
test0395.png,5,1
test0396.png,1,2
test0397.png,4,5
test0398.png,1,1
test0399.png,2,3
test0400.png,1,0
test0401.png,3,5
test0402.png,3,4
test0403.png,5,0
test0404.png,2,5
test0405.png,3,2
test0406.png,2,1
test0407.png,4,1
test0408.png,3,1
test0409.png,1,4
test0410.png,2,3
test0411.png,0,0
test0412.png,3,1
test0413.png,0,5
test0414.png,4,3
test0415.png,0,4
test0416.png,5,3
test0417.png,5,0
test0418.png,1,0
test0419.png,3,4
test0420.png,1,4
test0421.png,4,2
test0422.png,0,5
test0423.png,5,3
test0424.png,4,4
test0425.png,2,1
test0426.png,4,2
test0427.png,0,5
test0428.png,1,1
test0429.png,5,5
test0430.png,0,5
test0431.png,3,1
test0432.png,4,1
test0433.png,3,5
test0434.png,5,2
test0435.png,3,2
test0436.png,3,4
test0437.png,3,3
test0438.png,3,0
test0439.png,3,3
test0440.png,3,0
test0441.png,4,0
test0442.png,1,5
test0443.png,0,2
test0444.png,0,2
test0445.png,2,5
test0446.png,0,5
test0447.png,4,1
test0448.png,2,3
test0449.png,4,5
test0450.png,3,3
test0451.png,3,2
test0452.png,3,1
test0453.png,5,1
test0454.png,3,2
test0455.png,3,5
test0456.png,5,0
test0457.png,4,1
test0458.png,2,2
test0459.png,4,3
test0460.png,1,4
test0461.png,0,3
test0462.png,3,5
test0463.png,2,1
test0464.png,4,4
test0465.png,1,2
test0466.png,3,0
test0467.png,2,5
test0468.png,0,0
test0469.png,3,2
test0470.png,5,2
test0471.png,0,1
test0472.png,3,5
test0473.png,4,0
test0474.png,0,2
test0475.png,2,3
test0476.png,3,0
test0477.png,1,5
test0478.png,3,5
test0479.png,0,5
test0480.png,3,1
test0481.png,5,0
test0482.png,1,4
test0483.png,0,2
test0484.png,2,5
test0485.png,1,5
test0486.png,5,5
test0487.png,4,1
test0488.png,5,3
test0489.png,2,5
test0490.png,5,2
test0491.png,3,4
test0492.png,0,1
test0493.png,4,3
test0494.png,5,1
test0495.png,4,1
test0496.png,3,4
test0497.png,2,5
test0498.png,4,3
test0499.png,4,3
test0500.png,4,4
test0501.png,3,4
test0502.png,2,4
test0503.png,0,5
test0504.png,2,2
test0505.png,2,0
test0506.png,0,2
test0507.png,4,5
test0508.png,3,1
test0509.png,0,0
test0510.png,5,3
test0511.png,2,5
test0512.png,3,5
test0513.png,3,5
test0514.png,1,1
test0515.png,3,3
test0516.png,2,3
test0517.png,0,2
test0518.png,3,5
test0519.png,3,4
test0520.png,4,3
test0521.png,4,3
test0522.png,4,3
test0523.png,2,3
test0524.png,5,4
test0525.png,0,5
test0526.png,1,2
test0527.png,5,3
test0528.png,2,4
test0529.png,2,4
test0530.png,2,2
test0531.png,3,3
test0532.png,4,1
test0533.png,2,3
test0534.png,4,0
test0535.png,5,2
test0536.png,0,0
test0537.png,2,0
test0538.png,5,5
test0539.png,4,2
test0540.png,5,0
test0541.png,0,3
test0542.png,2,5
test0543.png,2,0
test0544.png,4,3
test0545.png,2,1
test0546.png,2,0
test0547.png,4,0
test0548.png,2,0
test0549.png,0,0
test0550.png,0,2
test0551.png,0,2
test0552.png,4,4
test0553.png,5,1
test0554.png,4,3
test0555.png,4,1
test0556.png,0,3
test0557.png,1,2
test0558.png,2,3
test0559.png,3,4
test0560.png,5,4
test0561.png,3,3
test0562.png,0,0
test0563.png,4,3
test0564.png,5,4
test0565.png,5,1
test0566.png,5,1
test0567.png,3,4
test0568.png,2,3
test0569.png,1,3
test0570.png,3,3
test0571.png,0,1
