Filename,NumOfPolygons,NumOfEllipses
test0000.png,1,3
test0001.png,1,3
test0002.png,0,1
test0003.png,3,0
test0004.png,3,4
test0005.png,3,4
test0006.png,5,3
test0007.png,2,4
test0008.png,4,3
test0009.png,5,2
test0010.png,0,4
test0011.png,5,5
test0012.png,0,3
test0013.png,4,1
test0014.png,3,4
test0015.png,4,5
test0016.png,2,3
test0017.png,2,3
test0018.png,5,0
test0019.png,0,2
test0020.png,0,2
test0021.png,5,2
test0022.png,2,2
test0023.png,0,1
test0024.png,0,4
test0025.png,5,1
test0026.png,1,3
test0027.png,2,3
test0028.png,3,4
test0029.png,3,1
test0030.png,5,3
test0031.png,4,4
test0032.png,2,3
test0033.png,5,1
test0034.png,0,4
test0035.png,3,1
test0036.png,4,3
test0037.png,2,1
test0038.png,4,5
test0039.png,0,4
test0040.png,2,0
test0041.png,5,4
test0042.png,1,4
test0043.png,2,3
test0044.png,1,0
test0045.png,4,2
test0046.png,4,1
test0047.png,3,3
test0048.png,2,5
test0049.png,1,0
test0050.png,1,4
test0051.png,4,1
test0052.png,2,2
test0053.png,2,5
test0054.png,0,1
test0055.png,4,4
test0056.png,5,0
test0057.png,2,1
test0058.png,1,2
test0059.png,4,4
test0060.png,2,4
test0061.png,3,5
test0062.png,3,5
test0063.png,5,5
test0064.png,2,0
test0065.png,3,1
test0066.png,0,3
test0067.png,4,2
test0068.png,4,4
test0069.png,5,1
test0070.png,1,5
test0071.png,5,2
test0072.png,3,5
test0073.png,5,2
test0074.png,4,0
test0075.png,4,4
test0076.png,3,2
test0077.png,1,2
test0078.png,3,0
test0079.png,0,1
test0080.png,4,1
test0081.png,1,3
test0082.png,5,2
test0083.png,0,4
test0084.png,2,3
test0085.png,3,3
test0086.png,1,0
test0087.png,5,2
test0088.png,4,0
test0089.png,4,5
test0090.png,4,3
test0091.png,2,3
test0092.png,5,4
test0093.png,3,2
test0094.png,2,1
test0095.png,0,3
test0096.png,2,2
test0097.png,1,0
test0098.png,5,1
test0099.png,1,3
test0100.png,0,5
test0101.png,4,3
test0102.png,2,5
test0103.png,5,4
test0104.png,4,3
test0105.png,2,5
test0106.png,3,1
test0107.png,3,4
test0108.png,1,1
test0109.png,4,3
test0110.png,4,2
test0111.png,1,1
test0112.png,1,2
test0113.png,1,2
test0114.png,5,2
test0115.png,5,5
test0116.png,0,4
test0117.png,3,5
test0118.png,1,4
test0119.png,0,2
test0120.png,2,3
test0121.png,5,0
test0122.png,2,0
test0123.png,0,4
test0124.png,4,4
test0125.png,4,4
test0126.png,2,4
test0127.png,1,4
test0128.png,0,0
test0129.png,0,4
test0130.png,5,3
test0131.png,1,1
test0132.png,0,4
test0133.png,0,0
test0134.png,3,4
test0135.png,0,0
test0136.png,2,2
test0137.png,3,5
test0138.png,4,0
test0139.png,1,5
test0140.png,0,1
test0141.png,5,1
test0142.png,5,2
test0143.png,0,2
test0144.png,1,1
test0145.png,3,2
test0146.png,5,1
test0147.png,4,5
test0148.png,4,4
test0149.png,3,4
test0150.png,3,3
test0151.png,3,5
test0152.png,4,0
test0153.png,0,3
test0154.png,0,3
test0155.png,3,5
test0156.png,2,5
test0157.png,3,2
test0158.png,5,4
test0159.png,5,0
test0160.png,5,4
test0161.png,3,2
test0162.png,5,0
test0163.png,3,1
test0164.png,2,1
test0165.png,0,2
test0166.png,4,3
test0167.png,4,1
test0168.png,2,1
test0169.png,2,0
test0170.png,0,0
test0171.png,1,2
test0172.png,2,4
test0173.png,4,0
test0174.png,4,4
test0175.png,4,2
test0176.png,1,3
test0177.png,0,5
test0178.png,0,2
test0179.png,4,2
test0180.png,4,3
test0181.png,5,1
test0182.png,0,5
test0183.png,2,5
test0184.png,3,3
test0185.png,1,2
test0186.png,5,5
test0187.png,3,1
test0188.png,0,4
test0189.png,2,1
test0190.png,2,1
test0191.png,0,5
test0192.png,4,2
test0193.png,0,4
test0194.png,5,2
test0195.png,3,5
test0196.png,3,2
test0197.png,5,2
test0198.png,3,0
test0199.png,1,0
test0200.png,5,5
test0201.png,5,5
test0202.png,2,1
test0203.png,0,4
test0204.png,0,1
test0205.png,0,3
test0206.png,3,3
test0207.png,5,0
test0208.png,5,0
test0209.png,1,5
test0210.png,0,2
test0211.png,5,3
test0212.png,5,3
test0213.png,1,1
test0214.png,5,4
test0215.png,5,0
test0216.png,3,1
test0217.png,1,1
test0218.png,2,5
test0219.png,1,4
test0220.png,1,5
test0221.png,4,0
test0222.png,3,1
test0223.png,2,2
test0224.png,1,5
test0225.png,4,0
test0226.png,0,2
test0227.png,3,5
test0228.png,0,0
test0229.png,2,5
test0230.png,0,3
test0231.png,4,1
test0232.png,1,5
test0233.png,0,4
test0234.png,4,5
test0235.png,3,2
test0236.png,2,1
test0237.png,0,2
test0238.png,3,3
test0239.png,3,3
test0240.png,2,1
test0241.png,3,4
test0242.png,1,5
test0243.png,5,0
test0244.png,3,0
test0245.png,2,0
test0246.png,0,0
test0247.png,5,5
test0248.png,0,0
test0249.png,1,1
test0250.png,0,4
test0251.png,4,5
test0252.png,2,1
test0253.png,4,3
test0254.png,4,2
test0255.png,3,1
test0256.png,4,5
test0257.png,2,1
test0258.png,5,5
test0259.png,3,0
test0260.png,2,5
test0261.png,3,5
test0262.png,3,4
test0263.png,0,2
test0264.png,3,2
test0265.png,3,0
test0266.png,5,2
test0267.png,2,3
test0268.png,3,5
test0269.png,3,4
test0270.png,2,0
test0271.png,1,2
test0272.png,4,0
test0273.png,4,3
test0274.png,5,2
test0275.png,5,0
test0276.png,5,4
test0277.png,4,4
test0278.png,0,2
test0279.png,2,5
test0280.png,0,0
test0281.png,5,1
test0282.png,5,1
test0283.png,0,1
test0284.png,4,1
test0285.png,3,0
test0286.png,1,2
test0287.png,0,4
test0288.png,5,3
test0289.png,4,0
test0290.png,1,3
test0291.png,1,3
test0292.png,1,4
test0293.png,2,1
test0294.png,1,5
test0295.png,0,3
test0296.png,3,1
test0297.png,5,1
test0298.png,4,0
test0299.png,1,5
test0300.png,2,1
test0301.png,4,1
test0302.png,1,2
test0303.png,3,0
test0304.png,3,5
test0305.png,1,5
test0306.png,4,0
test0307.png,1,4
test0308.png,3,5
test0309.png,5,1
test0310.png,1,4
test0311.png,3,2
test0312.png,2,0
test0313.png,3,3
test0314.png,4,4
test0315.png,5,5
test0316.png,0,4
test0317.png,3,0
test0318.png,0,5
test0319.png,2,2
test0320.png,3,1
test0321.png,4,1
test0322.png,2,5
test0323.png,3,1
test0324.png,0,4
test0325.png,4,1
test0326.png,1,3
test0327.png,0,4
test0328.png,5,5
test0329.png,5,0
test0330.png,5,4
test0331.png,1,5
test0332.png,3,1
test0333.png,5,5
test0334.png,1,1
test0335.png,1,5
test0336.png,0,2
test0337.png,3,5
test0338.png,1,1
test0339.png,1,5
test0340.png,1,1
test0341.png,4,3
test0342.png,2,0
test0343.png,0,0
test0344.png,4,0
test0345.png,4,2
test0346.png,1,1
test0347.png,4,5
test0348.png,4,3
test0349.png,1,2
test0350.png,1,4
test0351.png,0,1
test0352.png,5,3
test0353.png,1,3
test0354.png,0,1
test0355.png,1,5
test0356.png,4,4
test0357.png,1,5
test0358.png,4,4
test0359.png,3,0
test0360.png,2,1
test0361.png,1,2
test0362.png,5,0
test0363.png,2,4
test0364.png,3,0
test0365.png,4,3
test0366.png,5,1
test0367.png,2,0
test0368.png,3,3
test0369.png,0,3
test0370.png,4,3
test0371.png,0,0
test0372.png,3,0
test0373.png,0,1
test0374.png,5,5
test0375.png,1,3
test0376.png,4,0
test0377.png,3,2
test0378.png,4,1
test0379.png,0,5
test0380.png,0,2
test0381.png,2,0
test0382.png,0,1
test0383.png,2,4
test0384.png,0,4
test0385.png,5,1
test0386.png,2,2
test0387.png,0,1
test0388.png,5,2
test0389.png,5,1
test0390.png,3,4
test0391.png,0,4
test0392.png,4,2
test0393.png,3,0
test0394.png,5,1
test0395.png,4,4
test0396.png,5,3
test0397.png,3,3
test0398.png,1,5
test0399.png,4,5
test0400.png,5,5
test0401.png,5,1
test0402.png,5,4
test0403.png,5,4
test0404.png,2,4
test0405.png,0,4
test0406.png,3,2
test0407.png,2,4
test0408.png,0,0
test0409.png,5,4
test0410.png,1,2
test0411.png,1,0
test0412.png,3,1
test0413.png,1,0
test0414.png,3,5
test0415.png,0,0
test0416.png,5,0
test0417.png,5,0
test0418.png,4,3
test0419.png,3,5
test0420.png,5,3
test0421.png,0,4
test0422.png,1,0
test0423.png,0,2
test0424.png,2,5
test0425.png,0,4
test0426.png,3,4
test0427.png,4,5
test0428.png,3,1
test0429.png,1,0
test0430.png,0,3
test0431.png,0,0
test0432.png,2,1
test0433.png,2,5
test0434.png,2,5
test0435.png,1,2
test0436.png,3,0
test0437.png,5,4
test0438.png,3,5
test0439.png,1,3
test0440.png,0,2
test0441.png,1,2
test0442.png,1,3
test0443.png,0,1
test0444.png,4,1
test0445.png,4,5
test0446.png,0,4
test0447.png,5,2
test0448.png,0,4
test0449.png,4,0
test0450.png,0,4
test0451.png,4,5
test0452.png,3,1
test0453.png,2,5
test0454.png,0,0
test0455.png,1,5
test0456.png,0,0
test0457.png,2,5
test0458.png,1,0
test0459.png,0,3
test0460.png,0,2
test0461.png,3,3
test0462.png,4,3
test0463.png,3,5
test0464.png,0,3
test0465.png,5,1
test0466.png,0,3
test0467.png,1,5
test0468.png,2,0
test0469.png,1,0
test0470.png,1,2
test0471.png,0,0
test0472.png,2,5
test0473.png,2,0
test0474.png,4,0
test0475.png,4,1
test0476.png,1,4
test0477.png,1,1
test0478.png,4,1
test0479.png,3,5
test0480.png,4,3
test0481.png,5,5
test0482.png,1,1
test0483.png,3,2
test0484.png,4,3
test0485.png,1,5
test0486.png,4,5
test0487.png,5,5
test0488.png,1,0
test0489.png,4,1
test0490.png,0,3
test0491.png,4,5
test0492.png,0,4
test0493.png,4,3
test0494.png,2,4
test0495.png,5,2
test0496.png,3,2
test0497.png,0,4
test0498.png,5,0
test0499.png,3,0
test0500.png,5,5
test0501.png,0,1
test0502.png,4,3
test0503.png,4,0
test0504.png,2,1
test0505.png,5,4
test0506.png,5,0
test0507.png,1,2
test0508.png,1,2
test0509.png,0,2
test0510.png,5,1
