Filename,NumOfPolygons,NumOfEllipses
test0000.png,5,1
test0001.png,2,0
test0002.png,1,0
test0003.png,3,4
test0004.png,0,4
test0005.png,4,0
test0006.png,4,3
test0007.png,4,2
test0008.png,0,5
test0009.png,3,1
test0010.png,2,4
test0011.png,3,0
test0012.png,4,5
test0013.png,5,1
test0014.png,5,1
test0015.png,3,0
test0016.png,3,5
test0017.png,5,3
test0018.png,5,2
test0019.png,2,0
test0020.png,5,4
test0021.png,3,2
test0022.png,0,0
test0023.png,5,5
test0024.png,2,3
test0025.png,2,0
test0026.png,5,1
test0027.png,4,3
test0028.png,4,5
test0029.png,4,1
test0030.png,4,4
test0031.png,1,1
test0032.png,1,0
test0033.png,4,0
test0034.png,2,1
test0035.png,5,1
test0036.png,1,5
test0037.png,3,5
test0038.png,3,5
test0039.png,5,1
test0040.png,1,0
test0041.png,5,2
test0042.png,5,1
test0043.png,1,2
test0044.png,1,2
test0045.png,2,1
test0046.png,2,1
test0047.png,0,3
test0048.png,2,4
test0049.png,3,3
test0050.png,3,3
test0051.png,0,5
test0052.png,1,2
test0053.png,5,0
test0054.png,3,5
test0055.png,1,5
test0056.png,5,2
test0057.png,5,1
test0058.png,1,0
test0059.png,0,5
test0060.png,2,4
test0061.png,1,3
test0062.png,2,3
test0063.png,4,4
test0064.png,3,5
test0065.png,2,1
test0066.png,4,2
test0067.png,1,5
test0068.png,3,1
test0069.png,3,0
test0070.png,2,4
test0071.png,2,0
test0072.png,2,5
test0073.png,3,2
test0074.png,1,4
test0075.png,4,4
test0076.png,1,0
test0077.png,5,3
test0078.png,5,4
test0079.png,0,0
test0080.png,3,3
test0081.png,2,2
test0082.png,4,0
test0083.png,2,3
test0084.png,0,5
test0085.png,5,3
test0086.png,5,2
test0087.png,1,4
test0088.png,2,0
test0089.png,1,3
test0090.png,3,4
test0091.png,2,5
test0092.png,5,1
test0093.png,2,2
test0094.png,3,3
test0095.png,5,0
test0096.png,5,2
test0097.png,0,5
test0098.png,4,2
test0099.png,4,4
test0100.png,2,0
test0101.png,2,5
test0102.png,3,2
test0103.png,3,5
test0104.png,0,1
test0105.png,4,3
test0106.png,3,4
test0107.png,4,2
test0108.png,2,2
test0109.png,1,5
test0110.png,2,5
test0111.png,3,2
test0112.png,0,2
test0113.png,5,3
test0114.png,0,2
test0115.png,4,3
test0116.png,3,4
test0117.png,3,1
test0118.png,3,2
test0119.png,4,3
test0120.png,4,1
test0121.png,0,1
test0122.png,5,3
test0123.png,0,4
test0124.png,1,4
test0125.png,1,0
test0126.png,5,5
test0127.png,4,5
test0128.png,4,2
test0129.png,4,0
test0130.png,5,5
test0131.png,1,3
test0132.png,0,1
test0133.png,4,2
test0134.png,3,2
test0135.png,5,3
test0136.png,0,1
test0137.png,1,0
test0138.png,0,2
test0139.png,4,4
test0140.png,0,3
test0141.png,5,1
test0142.png,4,2
test0143.png,4,4
test0144.png,3,1
test0145.png,3,1
test0146.png,4,1
test0147.png,1,3
test0148.png,3,3
test0149.png,2,3
test0150.png,4,5
test0151.png,1,2
test0152.png,3,3
test0153.png,2,5
test0154.png,3,1
test0155.png,5,1
test0156.png,4,2
test0157.png,1,3
test0158.png,0,5
test0159.png,0,0
test0160.png,2,5
test0161.png,3,1
test0162.png,0,5
test0163.png,3,0
test0164.png,3,0
test0165.png,0,0
test0166.png,1,3
test0167.png,2,5
test0168.png,5,5
test0169.png,3,0
test0170.png,5,0
test0171.png,5,5
test0172.png,1,3
test0173.png,4,1
test0174.png,0,5
test0175.png,1,1
test0176.png,1,1
test0177.png,1,3
test0178.png,5,3
test0179.png,3,3
test0180.png,4,0
test0181.png,1,3
test0182.png,4,0
test0183.png,5,2
test0184.png,0,2
test0185.png,0,3
test0186.png,0,5
test0187.png,4,4
test0188.png,5,1
test0189.png,0,4
test0190.png,0,2
test0191.png,4,2
test0192.png,0,1
test0193.png,2,4
test0194.png,3,3
test0195.png,4,0
test0196.png,2,0
test0197.png,5,2
test0198.png,1,5
test0199.png,5,5
test0200.png,4,2
test0201.png,1,1
test0202.png,5,3
test0203.png,5,1
test0204.png,0,4
test0205.png,2,5
test0206.png,3,3
test0207.png,4,5
test0208.png,0,3
test0209.png,4,5
test0210.png,0,1
test0211.png,0,5
test0212.png,2,5
test0213.png,3,5
test0214.png,2,2
test0215.png,0,2
test0216.png,1,1
test0217.png,2,0
test0218.png,0,5
test0219.png,5,2
test0220.png,0,3
test0221.png,4,5
test0222.png,5,4
test0223.png,3,0
test0224.png,4,0
test0225.png,5,1
test0226.png,5,2
test0227.png,3,3
test0228.png,0,0
test0229.png,0,5
test0230.png,2,1
test0231.png,5,4
test0232.png,0,1
test0233.png,5,0
test0234.png,0,3
test0235.png,5,3
test0236.png,4,3
test0237.png,5,1
test0238.png,0,3
test0239.png,5,1
test0240.png,2,5
test0241.png,2,3
test0242.png,0,1
test0243.png,1,0
test0244.png,2,1
test0245.png,1,2
test0246.png,5,2
test0247.png,2,2
test0248.png,2,2
test0249.png,0,0
test0250.png,4,3
test0251.png,0,2
test0252.png,3,2
