epoch,seed,batch_size,random guess,alexnet,resnet,inception_v3
0,0,5,15.2,24.4,33.1,86.8
1,0,5,15.85,33.8,33.5,84.5
2,0,5,16.2333333333,37.5,38.3,90.4
3,0,5,16.825,41.4,40.5,93.8
4,0,5,16.8,39.4,41.4,93.2
5,0,5,16.65,35.7,41,94
6,0,5,16.5428571429,44.4,47.9,90.6
7,0,5,16.6125,43.7,27.7,94.6
8,0,5,16.7666666667,42.5,37.8,91.5
9,0,5,16.77,43.6,56.6,93.4
10,0,5,16.7545454545,43.3,59,92.8
11,0,5,16.675,44.1,66.1,94.6
12,0,5,16.7615384615,43.9,68.2,94.1
13,0,5,16.8285714286,46.3,70.4,94.7
14,0,5,16.8333333333,41.3,50.5,92.9
15,0,5,16.83125,45.1,75.2,95
16,0,5,16.8235294118,42.9,76.1,93.1
17,0,5,16.85,43.9,76.1,94.6
18,0,5,16.8789473684,42.3,78.8,95.8
19,0,5,16.86,42.5,74.2,95.3
20,0,5,16.8952380952,43.6,76.4,93.1
21,0,5,16.8272727273,39.5,69.1,94.9
22,0,5,16.8173913043,40.8,83,94.4
23,0,5,16.8875,41.5,87.3,95.2
24,0,5,16.86,39.4,80.4,95.1
