epoch,seed,batch_size,random guess,alexnet,resnet,inception_v3
0,0,5,0.4187965393,10.6745452881,96.8691556454,219.4613275528
1,0,5,0.8287694454,21.5580883026,196.7564606667,430.1065597534
2,0,5,1.2347278595,32.5258476734,301.0860540867,639.9268491268
3,0,5,1.6823885441,43.4120836258,451.0868337154,849.0759148598
4,0,5,2.1008729935,54.9472613335,562.0056626797,1058.3313705921
5,0,5,2.5235571861,65.7659165859,664.9312295914,1267.93034935
6,0,5,2.9414389133,77.1495397091,770.1306977272,1477.4686853886
7,0,5,3.4162356853,88.7776067257,873.1878013611,1686.8369116783
8,0,5,3.8767492771,99.7555427551,979.107919693,1896.0250561237
9,0,5,4.30128479,110.5215849876,1085.8066191673,2105.2505815029
10,0,5,4.7336900234,121.2126455307,1187.61191535,2314.4323372841
11,0,5,5.2064211369,131.9973158836,1293.2247421742,2523.9571325779
12,0,5,5.6291229725,143.1628000736,1399.5319068432,2732.9332916737
13,0,5,6.0343034267,153.915822506,1505.9262065888,2942.173191309
14,0,5,6.4369289875,165.4809117317,1611.5011761189,3151.5513222218
15,0,5,6.8471741676,177.0077793598,1714.2978143692,3360.967299223
16,0,5,7.2512705326,188.1885812283,1814.3739938736,3569.9405868054
17,0,5,7.6626253128,198.8982315063,1917.2435202599,3778.9716267586
18,0,5,8.0702011585,209.8347909451,2016.8828575611,3988.1683933735
19,0,5,8.4757575989,221.2533118725,2117.2358188629,4197.1656455994
20,0,5,8.8829004765,232.8207890987,2217.8866891861,4406.0029332638
21,0,5,9.3131182194,243.6454384327,2320.9461069107,4615.313457489
22,0,5,9.7417647839,254.4751148224,2422.4748351574,4824.3534302712
23,0,5,10.1623821259,265.1485323906,2522.1715018749,5033.2590391636
24,0,5,10.6014449596,275.9276373386,2620.537424326,5242.2974221706
