epoch,seed,batch_size,time,running_loss,accuracy
0,0,5,96.86915564537048,3077.732365846634,33.1
1,0,5,196.7564606666565,3024.8794959783554,33.5
2,0,5,301.0860540866852,2964.316115617752,38.3
3,0,5,451.08683371543884,2912.033261537552,40.5
4,0,5,562.0056626796722,2880.0021023750305,41.4
5,0,5,664.9312295913696,2850.0810331106186,41.0
6,0,5,770.1306977272034,2825.0451419353485,47.9
7,0,5,873.187801361084,2781.5289314985275,27.7
8,0,5,979.1079196929932,2714.714815735817,37.8
9,0,5,1085.8066191673279,2663.729800105095,56.6
10,0,5,1187.6119153499603,2629.9295625686646,59.0
11,0,5,1293.2247421741486,2586.1182416677475,66.1
12,0,5,1399.5319068431854,2562.230357170105,68.2
13,0,5,1505.9262065887451,2523.085855603218,70.4
14,0,5,1611.5011761188507,2498.970634818077,50.5
15,0,5,1714.2978143692017,2463.1825013160706,75.2
16,0,5,1814.3739938735962,2448.9885547161102,76.1
17,0,5,1917.2435202598572,2412.736946582794,76.1
18,0,5,2016.8828575611115,2392.4489592313766,78.8
19,0,5,2117.235818862915,2359.173305630684,74.2
20,0,5,2217.886689186096,2341.2522743940353,76.4
21,0,5,2320.9461069107056,2324.0414456129074,69.1
22,0,5,2422.4748351573944,2303.3643604516983,83.0
23,0,5,2522.1715018749237,2282.2106672525406,87.3
24,0,5,2620.537424325943,2260.439571619034,80.4
